epoch,cost
1,1339.13
2,1339.13
3,1339.13
4,1315.95
5,1315.95
6,1255.79
7,1225.14
8,1222.03
9,1220
10,1219.07
11,1157.5
12,1157.5
13,1155.24
14,1155.24
15,1150.9
16,1150.61
17,1150.61
18,1150.61
19,1150.61
20,1150.61
21,1150.61
22,1150.61
23,1150.61
24,1150.61
25,1150.61
26,1150.61
27,1150.61
28,1150.61
29,1150.61
30,1150.61
31,1150.61
32,1150.61
33,1150.61
34,1150.61
35,1150.61
36,1150.61
37,1150.61
38,1150.61
39,1144.67
40,1144.67
41,1144.67
42,1144.67
43,1144.67
44,1144.67
45,1144.67
46,1144.67
47,1144.67
48,1144.67
49,1144.67
50,1144.67
51,1144.67
52,1144.67
53,1144.67
54,1137.79
55,1137.79
56,1137.79
57,1137.79
58,1137.79
59,1137.79
60,1137.79
61,1137.79
62,1137.79
63,1137.79
64,1137.79
65,1137.79
66,1137.79
67,1137.79
68,1137.79
69,1137.79
70,1137.79
71,1137.79
72,1137.79
73,1137.79
74,1137.79
75,1137.79
76,1137.79
77,1137.79
78,1137.79
79,1137.79
80,1137.79
81,1137.79
82,1137.79
83,1137.79
84,1137.79
85,1137.79
86,1137.79
87,1137.79
88,1137.79
89,1137.79
90,1137.79
91,1137.79
92,1137.79
93,1137.79
94,1137.79
95,1137.79
96,1137.79
97,1137.79
98,1137.79
99,1137.79
100,1137.79
101,1137.79
102,1137.79
103,1137.79
104,1137.79
105,1137.79
106,1137.79
107,1137.79
108,1137.79
109,1137.79
110,1137.79
111,1137.79
112,1137.79
113,1137.79
114,1137.79
115,1137.79
116,1137.79
117,1137.79
118,1137.79
119,1137.79
120,1137.79
121,1137.79
122,1137.79
123,1137.79
124,1137.79
125,1137.79
126,1137.79
127,1137.79
128,1137.79
129,1137.79
130,1137.79
131,1137.79
132,1137.79
133,1137.79
134,1137.79
135,1137.79
136,1137.79
137,1137.79
138,1137.79
139,1137.79
140,1137.79
141,1137.79
142,1137.79
143,1137.79
144,1137.79
145,1137.79
146,1137.79
147,1137.79
148,1137.79
149,1137.79
150,1137.79
151,1137.79
152,1137.79
153,1137.79
154,1137.79
155,1137.79
156,1137.79
157,1137.79
158,1137.79
159,1137.79
160,1137.79
161,1137.79
162,1137.79
163,1137.79
164,1137.79
165,1137.79
166,1137.79
167,1137.79
168,1137.79
169,1137.79
170,1137.79
171,1137.79
172,1137.79
173,1137.79
174,1137.79
175,1137.79
176,1137.79
177,1137.79
178,1137.79
179,1137.79
180,1137.79
181,1137.79
182,1137.79
183,1137.79
184,1137.79
185,1137.79
186,1137.79
187,1137.79
188,1137.79
189,1137.79
190,1137.79
191,1137.79
192,1137.79
193,1137.79
194,1137.79
195,1137.79
196,1137.79
197,1137.79
198,1137.79
199,1137.79
200,1137.79
201,1137.79
202,1137.79
203,1137.79
204,1137.79
205,1137.79
206,1137.79
207,1137.79
208,1137.79
209,1137.79
210,1137.79
211,1137.79
212,1137.79
213,1137.79
214,1137.79
215,1137.79
216,1137.79
217,1137.79
218,1137.79
219,1137.79
220,1137.79
221,1137.79
222,1137.79
223,1137.79
224,1137.79
225,1137.79
226,1137.79
227,1137.79
228,1137.79
229,1137.79
230,1137.79
231,1137.79
232,1137.79
233,1137.79
234,1137.79
235,1137.79
236,1137.79
237,1137.79
238,1137.79
239,1137.79
240,1137.79
241,1137.79
242,1137.79
243,1137.79
