epoch,cost
1,1376.74
2,1349.34
3,1332.61
4,1332.61
5,1303.93
6,1303.93
7,1257.27
8,1257.27
9,1257.27
10,1257.27
11,1257.27
12,1257.27
13,1257.27
14,1257.27
15,1257.27
16,1257.27
17,1257.27
18,1257.27
19,1257.27
20,1257.27
21,1257.27
22,1257.27
23,1257.27
24,1257.27
25,1258.24
26,1258.24
27,1258.24
28,1258.24
29,1258.24
30,1258.24
31,1258.24
32,1258.24
33,1258.24
34,1246.71
35,1246.71
36,1246.71
37,1246.71
38,1246.71
39,1246.71
40,1246.71
41,1261.57
42,1261.57
43,1261.57
44,1261.57
45,1261.57
46,1261.57
47,1264.63
48,1264.63
49,1264.63
50,1222.11
51,1222.11
52,1222.11
53,1231.63
54,1231.63
55,1231.63
56,1231.63
57,1231.63
58,1232.86
59,1232.86
60,1232.86
61,1232.86
62,1240.96
63,1240.96
64,1240.96
65,1240.96
66,1201.98
67,1201.98
68,1201.98
69,1201.98
70,1233.5
71,1233.5
72,1233.5
73,1233.5
74,1216.2
75,1216.2
76,1216.2
77,1244.84
78,1244.84
79,1244.84
80,1243.6
81,1243.6
82,1243.6
83,1243.6
84,1252.39
85,1252.39
86,1252.39
87,1147.77
88,1147.77
89,1147.77
90,1184.2
91,1184.2
92,1184.2
93,1194.5
94,1194.5
95,1138.68
96,1138.68
97,1138.68
98,1231.33
99,1231.33
100,1231.33
101,1179.02
102,1179.02
103,1160.71
104,1160.71
105,1160.71
106,1253.19
107,1253.19
108,1216.99
109,1216.99
110,1216.99
111,1217.67
112,1217.67
113,1173.63
114,1173.63
115,1250.53
116,1250.53
117,1212.8
118,1212.8
119,1212.8
120,1178.96
121,1178.96
122,1158.62
123,1158.62
124,1248.11
125,1248.11
126,1208.2
127,1208.2
128,1226.76
129,1226.76
130,1202.09
131,1202.09
132,1181.98
133,1181.98
134,1195.42
135,1237.62
136,1237.62
137,1258.49
138,1258.49
139,1172.19
140,1172.19
141,1215.94
142,1215.94
143,1221.96
144,1221.96
145,1167.81
146,1250.05
147,1250.05
148,1246.69
149,1246.69
150,1195.39
151,1195.39
152,1197.61
153,1228.74
154,1228.74
155,1236.82
156,1236.82
157,1213.01
158,1253.35
159,1253.35
160,1192.72
161,1202.08
162,1202.08
163,1211.88
164,1211.88
165,1175.26
166,1260.55
167,1233.19
168,1179.72
169,1247.92
170,1247.92
171,1193.66
172,1191.59
173,1191.59
174,1215.98
175,1222
176,1222
177,1189.39
178,1222.01
179,1222.01
180,1200.26
181,1208.49
182,1187.47
183,1187.47
184,1213.16
185,1195.03
186,1195.03
187,1191.06
188,1218.04
189,1247.08
190,1247.08
191,1205.06
192,1209.5
193,1224.74
194,1224.74
195,1197.28
196,1223.58
197,1138.68
198,1138.68
199,1132.11
200,1235.71
201,1219.66
202,1219.66
203,1239.05
204,1218.87
205,1196.3
206,1222.28
207,1222.28
208,1177.76
209,1224.4
210,1219.28
211,1180.64
212,1180.64
213,1185.3
214,1194.3
215,1230.87
216,1177.42
217,1223.9
218,1183.67
219,1183.67
220,1187.47
221,1191.59
222,1177.76
223,1166.54
224,1184.36
225,1115.98
226,1115.98
227,1190.53
228,1209.76
229,1155.86
230,1204.34
231,1186.91
232,1183.67
233,1219.66
234,1217.02
235,1220.82
236,1220.82
237,1204.34
238,1222.38
239,1225.55
240,1203.86
241,1184.2
242,1147.77
243,1188.12
244,1196.39
245,1184.74
246,1234.01
247,1187.47
248,1164.53
249,1190.53
250,1183.31
251,1197.18
252,1182.03
253,1217.6
254,1196.93
255,1164.88
256,1214.45
257,1176.32
258,1163.88
259,1226.73
260,1212.72
261,1218.51
262,1220.2
263,1176.67
264,1226.73
265,1197.92
266,1224.39
267,1206.2
268,1199.14
269,1187.47
270,1208.49
271,1216.26
272,1178.32
273,1174.18
274,1225.84
275,1183.31
276,1193.56
277,1166.61
278,1191.76
279,1151.88
280,1192.05
281,1144.12
282,1212.51
283,1224.4
284,1211.44
285,1221.73
286,1177.33
287,1189.22
288,1178.86
289,1189.01
290,1211.96
291,1216.69
292,1160.71
293,1242.88
294,1228.78
295,1149.81
296,1170.3
297,1233.79
298,1217.02
299,1159.54
300,1177.33
301,1207.31
302,1180.94
303,1213.01
304,1164.33
305,1168.84
306,1194.32
307,1177.33
308,1203.41
309,1200.87
310,1235.37
311,1195.39
312,1228.06
313,1196.84
314,1214.37
315,1225.85
316,1192.31
317,1206.2
318,1186.78
319,1176.94
320,1213.52
321,1156.17
322,1196.7
323,1202.15
324,1207.45
325,1178.86
326,1209.57
327,1181.16
328,1226.51
329,1237.29
330,1205.79
331,1229.57
332,1180.94
333,1207.43
334,1222.88
335,1174.84
336,1179.24
337,1173.86
338,1187.93
339,1191.57
340,1208.49
341,1212.15
342,1183.87
343,1166.61
344,1215.84
345,1226.11
346,1200.85
347,1208.41
348,1173.12
349,1178.86
350,1221.99
351,1183.08
352,1198.3
353,1176.94
354,1214.8
355,1144.12
356,1187.47
357,1210.08
358,1157.03
359,1180.94
360,1225.18
361,1149.2
362,1177.19
363,1158
364,1165.41
365,1162.44
366,1216.79
367,1193.56
368,1208.36
369,1176.98
370,1172.72
371,1208.27
372,1208.41
373,1217.02
374,1217.44
375,1223.03
376,1180.64
377,1225.84
378,1186.78
379,1204.73
380,1175.26
381,1217.93
382,1223.58
383,1184.36
384,1217.54
385,1208.82
386,1204.53
387,1181.04
388,1168.84
389,1209.45
390,1164.06
391,1164.33
392,1228.48
393,1195.96
394,1194.02
395,1194.46
396,1230.76
397,1186.78
398,1177.42
399,1194.21
400,1176.36
401,1183.67
402,1201.09
403,1176.67
404,1186.78
405,1178.57
406,1178.86
407,1193.34
408,1178.44
409,1190.19
410,1188.24
411,1192.41
412,1147.77
413,1192.36
414,1190.99
415,1188.7
416,1199.08
417,1181.98
418,1193.64
419,1171.54
420,1217.89
421,1185.03
422,1202.54
423,1206.86
424,1147.77
425,1208.49
426,1192.41
427,1144.12
428,1179.72
429,1212.04
430,1177.42
431,1202.65
432,1167.88
433,1197.7
434,1180.93
435,1118.29
436,1214.8
437,1179.45
438,1180.94
439,1205.29
440,1191.5
441,1192.41
442,1208.49
443,1216.08
444,1191.58
445,1164.73
446,1177.33
447,1191.57
448,1185.54
449,1200.26
450,1180.64
451,1199.84
452,1181.07
453,1179.76
454,1179.02
455,1193.75
456,1156.17
457,1196.58
458,1187.24
459,1177.76
460,1188.15
461,1186.95
462,1220.11
463,1178.96
464,1190.05
465,1176.98
466,1149.11
467,1191.78
468,1206.91
469,1186.03
470,1205.78
471,1237.92
472,1144.12
473,1176.94
474,1168.84
475,1199.57
476,1158.04
477,1211.92
478,1168.27
479,1186.78
480,1171.34
481,1185.22
482,1177.76
483,1152.94
484,1179.24
485,1200.43
486,1176.34
487,1193.95
488,1219.2
489,1196.7
490,1182.98
491,1178.92
492,1131.37
493,1144.12
494,1194.82
495,1183.77
496,1203.19
497,1213.65
498,1191.65
499,1199.33
500,1208.3
501,1198.78
502,1176.32
503,1179.72
