1,-4.5,-21,99
2,15,71.2,420
3,-201,17.5,300
4,-35,67.5,-505
5,10.2,-112,19.4
6,57,133,-71
7,25.45,89,200
8,-378,112.3,145
9,-212,-222,-20
10,111.824,-52,-99
11,21.2,-323,213
12,698,-23.09,-104
13,145,3.6,599
14,-56,333,-76
15,233,-39,260.7
16,39.777,399,15
17,11.24,7,569
18,67.3,49,-92.54
19,105,47.6,60
20,21,-45,57
21,-465,21,-9
22,-88.77,612,10.2
23,431,-332,92
24,189,521,-7
25,7.6,239,-44
26,-99,14,-2
27,973,995,98
28,384,-450,6.5
29,-388.40,67,-45.2
30,-874,299,335
31,78,34.2,-129
32,59,399,912
33,88,-10,711
34,-347,877,65
35,-727,41,-822


