epoch,cost
1,1656.44
2,1645.38
3,1631.68
4,1653.79
5,1671.23
6,1674.38
7,1694.36
8,1688.68
9,1688.58
10,1640.47
11,1640.47
12,1640.98
13,1646.75
14,1642.39
15,1631.3
16,1637.59
17,1631.04
18,1632.95
19,1645.85
20,1646.41
21,1635.61
22,1602.93
23,1602.12
24,1520.8
25,1540.75
26,1531.99
27,1534.39
28,1537.71
29,1569.26
30,1550.72
31,1562.93
32,1592.84
33,1592.49
34,1610.58
35,1610.5
36,1624.46
37,1594.72
38,1498.85
39,1468.38
40,1386.31
41,1390.84
42,1389.75
43,1479.47
44,1548.92
45,1455.38
46,1468.48
47,1452.14
48,1449.29
49,1444.61
50,1452.63
51,1452.63
52,1440.83
53,1346.87
54,1466.21
55,1457.41
56,1433.26
57,1450.95
58,1449.04
59,1447.43
60,1391.39
61,1413.98
62,1445.45
63,1462.07
64,1518.11
65,1520.5
66,1529.56
67,1529.56
68,1523.7
69,1523.7
70,1519.68
71,1498.21
72,1516.81
73,1520.84
74,1531.76
75,1524.94
76,1514.41
77,1500.58
78,1430.96
79,1513.75
80,1513.61
81,1495.72
82,1492.57
83,1491.05
84,1479.27
85,1442.01
86,1438.1
87,1504.38
88,1522.9
89,1530.48
90,1534.9
91,1508.59
92,1504.67
93,1507.52
94,1540.14
95,1518.82
96,1520.91
97,1514.58
98,1518.85
99,1518.85
100,1518.56
101,1527.25
102,1527.31
103,1518.62
104,1520.96
105,1520.96
106,1535.91
107,1503.68
108,1506.2
109,1479.07
110,1487.54
111,1484.12
112,1483.63
113,1465.6
114,1460.48
115,1468.51
116,1404.93
117,1408.34
118,1415.92
119,1469.77
120,1472.67
121,1531
122,1530.44
123,1503.92
124,1504.04
125,1534.52
126,1510.86
127,1510.86
128,1505.71
129,1429.76
130,1505.95
131,1497.92
132,1477.6
133,1461.84
134,1495.68
135,1608.23
136,1585.27
137,1534.76
138,1536.43
139,1529.91
140,1526.75
141,1458.76
142,1438.41
143,1421.4
144,1559.36
145,1547.25
146,1531.87
147,1531.64
148,1524.91
149,1543.9
150,1545.72
151,1534.89
152,1532.5
153,1539.24
154,1537.88
155,1538.55
156,1538.55
157,1543.92
158,1575.21
159,1535.47
160,1536.55
161,1567.73
162,1565.77
163,1469.94
164,1469.72
165,1458.85
166,1458.19
167,1463.83
168,1458.21
169,1413.47
170,1417.46
171,1420.5
172,1487.39
173,1545.27
174,1557.72
175,1511.37
176,1507.92
177,1498.24
178,1525.2
179,1522.07
180,1566.36
181,1667.26
182,1660.56
183,1655.58
